,Model,Compressor,error_bound,epochs,miou,class,iou,run,model_num
146,unet,sz3,1E-4,10,0.28439937854810243,pole,0.01286704479212319,0,18
147,unet,sz3,1E-4,10,0.28439937854810243,traffic light,9.7911227154047e-05,0,18
148,unet,sz3,1E-4,10,0.28439937854810243,traffic sign,0.00225805173711524,0,18
149,unet,sz3,1E-4,10,0.28439937854810243,vegetation,0.6784304652630111,0,18
150,unet,sz3,1E-4,10,0.28439937854810243,terrain,0.3485253087796203,0,18
151,unet,sz3,1E-4,10,0.28439937854810243,sky,0.6658358973227907,0,18
152,unet,sz3,1E-4,10,0.28439937854810243,person,0.18324224811108178,0,18
153,unet,sz3,1E-4,10,0.28439937854810243,rider,0.060626630746059694,0,18
154,unet,sz3,1E-4,10,0.28439937854810243,car,0.6152099527953304,0,18
155,unet,sz3,1E-4,10,0.28439937854810243,truck,0.21361918261280416,0,18
156,unet,sz3,1E-4,10,0.28439937854810243,bus,0.07795799387099185,0,18
157,unet,sz3,1E-4,10,0.28439937854810243,train,0.0,0,18
158,unet,sz3,1E-4,10,0.28439937854810243,motorcycle,0.06583473614872283,0,18
159,unet,sz3,1E-4,10,0.28439937854810243,bicycle,0.15600657471592938,0,18
160,unet,sz3,1E-4,10,0.2865395935896539,unlabeled,0.3319229587916322,2,18
161,unet,sz3,1E-4,10,0.2865395935896539,road,0.8355522942059126,2,18
162,unet,sz3,1E-4,10,0.2865395935896539,sidewalk,0.4028334888171731,2,18
163,unet,sz3,1E-4,10,0.2865395935896539,building,0.6628916413382943,2,18
164,unet,sz3,1E-4,10,0.2865395935896539,wall,0.14189897467815377,2,18
165,unet,sz3,1E-4,10,0.2865395935896539,fence,0.08225105316554351,2,18
166,unet,sz3,1E-4,10,0.2865395935896539,pole,0.004188509030111984,2,18
167,unet,sz3,1E-4,10,0.2865395935896539,traffic light,0.0,2,18
168,unet,sz3,1E-4,10,0.2865395935896539,traffic sign,0.0,2,18
169,unet,sz3,1E-4,10,0.2865395935896539,vegetation,0.6672855484763988,2,18
170,unet,sz3,1E-4,10,0.2865395935896539,terrain,0.31392270380222187,2,18
171,unet,sz3,1E-4,10,0.2865395935896539,sky,0.6510966324279301,2,18
172,unet,sz3,1E-4,10,0.2865395935896539,person,0.21240554895793912,2,18
173,unet,sz3,1E-4,10,0.2865395935896539,rider,0.010180931314162554,2,18
174,unet,sz3,1E-4,10,0.2865395935896539,car,0.609980416092594,2,18
175,unet,sz3,1E-4,10,0.2865395935896539,truck,0.26227665365045555,2,18
176,unet,sz3,1E-4,10,0.2865395935896539,bus,0.2015556219241407,2,18
177,unet,sz3,1E-4,10,0.2865395935896539,train,0.14297874535699545,2,18
178,unet,sz3,1E-4,10,0.2865395935896539,motorcycle,0.04574072669346886,2,18
179,unet,sz3,1E-4,10,0.2865395935896539,bicycle,0.1518294230699496,2,18
180,unet,sz3,1E-3,10,0.26863169969304085,unlabeled,0.2747763356056137,0,18
181,unet,sz3,1E-3,10,0.26863169969304085,road,0.8155506966088026,0,18
182,unet,sz3,1E-3,10,0.26863169969304085,sidewalk,0.4124735160986334,0,18
183,unet,sz3,1E-3,10,0.26863169969304085,building,0.6265807789403942,0,18
184,unet,sz3,1E-3,10,0.26863169969304085,wall,0.15599158538917576,0,18
185,unet,sz3,1E-3,10,0.26863169969304085,fence,0.07698315505348395,0,18
186,unet,sz3,1E-3,10,0.26863169969304085,pole,0.007272648329461824,0,18
187,unet,sz3,1E-3,10,0.26863169969304085,traffic light,0.0,0,18
188,unet,sz3,1E-3,10,0.26863169969304085,traffic sign,0.0,0,18
189,unet,sz3,1E-3,10,0.26863169969304085,vegetation,0.6075574203263957,0,18
190,unet,sz3,1E-3,10,0.26863169969304085,terrain,0.26835156789419784,0,18
191,unet,sz3,1E-3,10,0.26863169969304085,sky,0.6532946577860712,0,18
192,unet,sz3,1E-3,10,0.26863169969304085,person,0.2159915427832901,0,18
193,unet,sz3,1E-3,10,0.26863169969304085,rider,0.017870135917809015,0,18
194,unet,sz3,1E-3,10,0.26863169969304085,car,0.6217788834861158,0,18
195,unet,sz3,1E-3,10,0.26863169969304085,truck,0.24413910210871034,0,18
196,unet,sz3,1E-3,10,0.26863169969304085,bus,0.10401469098277609,0,18
197,unet,sz3,1E-3,10,0.26863169969304085,train,0.05034261905581764,0,18
198,unet,sz3,1E-3,10,0.26863169969304085,motorcycle,0.09325692170288777,0,18
199,unet,sz3,1E-3,10,0.26863169969304085,bicycle,0.1264077357911804,0,18
200,unet,sz3,1E-3,10,0.2806593828424301,unlabeled,0.3192042118288419,1,18
201,unet,sz3,1E-3,10,0.2806593828424301,road,0.8280763522090607,1,18
202,unet,sz3,1E-3,10,0.2806593828424301,sidewalk,0.43528323422905313,1,18
203,unet,sz3,1E-3,10,0.2806593828424301,building,0.6423766066601211,1,18
204,unet,sz3,1E-3,10,0.2806593828424301,wall,0.14489841817227678,1,18
205,unet,sz3,1E-3,10,0.2806593828424301,fence,0.06028532535365832,1,18
206,unet,sz3,1E-3,10,0.2806593828424301,pole,0.012090528799742572,1,18
207,unet,sz3,1E-3,10,0.2806593828424301,traffic light,0.0,1,18
208,unet,sz3,1E-3,10,0.2806593828424301,traffic sign,0.0,1,18
209,unet,sz3,1E-3,10,0.2806593828424301,vegetation,0.6136630869433299,1,18
210,unet,sz3,1E-3,10,0.2806593828424301,terrain,0.27190876948359144,1,18
211,unet,sz3,1E-3,10,0.2806593828424301,sky,0.6525346587584254,1,18
212,unet,sz3,1E-3,10,0.2806593828424301,person,0.2222638959585406,1,18
213,unet,sz3,1E-3,10,0.2806593828424301,rider,0.03970640705438606,1,18
214,unet,sz3,1E-3,10,0.2806593828424301,car,0.6112200102092905,1,18
215,unet,sz3,1E-3,10,0.2806593828424301,truck,0.31784781978149473,1,18
216,unet,sz3,1E-3,10,0.2806593828424301,bus,0.2167470965689134,1,18
217,unet,sz3,1E-3,10,0.2806593828424301,train,0.0,1,18
218,unet,sz3,1E-3,10,0.2806593828424301,motorcycle,0.0712380757000718,1,18
219,unet,sz3,1E-3,10,0.2806593828424301,bicycle,0.1538431591378035,1,18
220,unet,sz3,1E-3,10,0.2772942868073924,unlabeled,0.3196979335124592,2,18
221,unet,sz3,1E-3,10,0.2772942868073924,road,0.8162181449370235,2,18
222,unet,sz3,1E-3,10,0.2772942868073924,sidewalk,0.43133045012817406,2,18
223,unet,sz3,1E-3,10,0.2772942868073924,building,0.6469775735642553,2,18
224,unet,sz3,1E-3,10,0.2772942868073924,wall,0.1583688330602585,2,18
225,unet,sz3,1E-3,10,0.2772942868073924,fence,0.06366788357048757,2,18
226,unet,sz3,1E-3,10,0.2772942868073924,pole,0.012821269811814126,2,18
227,unet,sz3,1E-3,10,0.2772942868073924,traffic light,0.0,2,18
228,unet,sz3,1E-3,10,0.2772942868073924,traffic sign,0.0,2,18
229,unet,sz3,1E-3,10,0.2772942868073924,vegetation,0.6231307640728568,2,18
230,unet,sz3,1E-3,10,0.2772942868073924,terrain,0.2280295713131534,2,18
